external_transaction_id,external_player_id,type,amount,currency,method,status,occurred_at,description,bank_account_origin
TX-000128,PLY-NORM-013,DEPOSIT,987.88,BRL,PIX,SETTLED,2026-01-10T10:04:21Z,,
TX-000557,PLY-NORM-048,DEPOSIT,642.52,BRL,PIX,SETTLED,2026-01-10T12:14:09Z,,
TX-002152,PLY-BONU-113,BONUS,144.98,BRL,WALLET,SETTLED,2026-01-10T12:57:22Z,Bonus deposito,
TX-000306,PLY-NORM-028,DEPOSIT,760.53,BRL,TED,SETTLED,2026-01-10T14:47:31Z,,
TX-000082,PLY-NORM-008,DEPOSIT,108.14,BRL,PIX,SETTLED,2026-01-10T15:07:39Z,,
TX-001512,PLY-STRU-094,DEPOSIT,616.51,BRL,TED,SETTLED,2026-01-10T18:12:48Z,,
TX-001503,PLY-STRU-094,DEPOSIT,875.51,BRL,PIX,SETTLED,2026-01-10T18:37:48Z,,
TX-001504,PLY-STRU-094,DEPOSIT,927.21,BRL,TED,SETTLED,2026-01-10T19:50:48Z,,
TX-000077,PLY-NORM-007,DEPOSIT,872.33,BRL,PIX,SETTLED,2026-01-10T20:16:03Z,,
TX-001517,PLY-STRU-094,DEPOSIT,674.31,BRL,TED,SETTLED,2026-01-10T20:27:48Z,,
TX-001506,PLY-STRU-094,DEPOSIT,668.09,BRL,TED,SETTLED,2026-01-10T20:38:48Z,,
TX-000262,PLY-NORM-024,DEPOSIT,2632.09,BRL,TED,SETTLED,2026-01-10T20:50:23Z,,
TX-001505,PLY-STRU-094,DEPOSIT,948.88,BRL,PIX,SETTLED,2026-01-10T20:54:48Z,,
TX-001520,PLY-STRU-094,DEPOSIT,966.64,BRL,TED,SETTLED,2026-01-10T20:54:48Z,,
TX-001518,PLY-STRU-094,DEPOSIT,925.05,BRL,PIX,SETTLED,2026-01-10T20:58:48Z,,
TX-000370,PLY-NORM-033,DEPOSIT,2168.01,BRL,PIX,SETTLED,2026-01-10T21:12:07Z,,
TX-001507,PLY-STRU-094,DEPOSIT,883.84,BRL,PIX,SETTLED,2026-01-10T21:12:48Z,,
TX-001865,PLY-NETW-099,DEPOSIT,3749.61,BRL,PIX,SETTLED,2026-01-10T21:39:20Z,,PIX:shared.alpha@fictibet.test
TX-000909,PLY-NORM-076,DEPOSIT,308.20,BRL,PIX,SETTLED,2026-01-10T21:51:58Z,,
TX-001508,PLY-STRU-094,DEPOSIT,533.19,BRL,TED,SETTLED,2026-01-10T22:36:48Z,,
TX-000533,PLY-NORM-046,DEPOSIT,336.65,BRL,PIX,SETTLED,2026-01-11T00:34:10Z,,
TX-001509,PLY-STRU-094,DEPOSIT,404.38,BRL,TED,SETTLED,2026-01-11T00:38:48Z,,
TX-002241,PLY-BONU-114,CASHOUT,851.19,BRL,PIX,SETTLED,2026-01-11T00:42:58Z,,
TX-001510,PLY-STRU-094,DEPOSIT,539.68,BRL,PIX,SETTLED,2026-01-11T01:54:48Z,,
TX-000037,PLY-NORM-004,DEPOSIT,2948.92,BRL,PIX,SETTLED,2026-01-11T02:09:03Z,,
TX-001513,PLY-STRU-094,DEPOSIT,685.13,BRL,PIX,SETTLED,2026-01-11T02:14:48Z,,
TX-001014,PLY-INCO-082,WITHDRAWAL,1824.80,BRL,PIX,SETTLED,2026-01-11T02:19:49Z,,
TX-000379,PLY-NORM-034,DEPOSIT,584.75,BRL,WALLET,SETTLED,2026-01-11T02:57:03Z,,
TX-000408,PLY-NORM-036,DEPOSIT,897.73,BRL,PIX,SETTLED,2026-01-11T03:33:39Z,,
TX-001511,PLY-STRU-094,DEPOSIT,642.39,BRL,TED,SETTLED,2026-01-11T03:48:48Z,,
TX-001149,PLY-INCO-086,WITHDRAWAL,4068.92,BRL,PIX,SETTLED,2026-01-11T04:20:33Z,,
TX-001078,PLY-INCO-084,WITHDRAWAL,3209.56,BRL,PIX,SETTLED,2026-01-11T04:46:11Z,,
TX-000248,PLY-NORM-023,DEPOSIT,434.93,BRL,PIX,SETTLED,2026-01-11T07:21:12Z,,
TX-001514,PLY-STRU-094,DEPOSIT,742.36,BRL,PIX,SETTLED,2026-01-11T11:18:48Z,,
TX-001515,PLY-STRU-094,DEPOSIT,483.83,BRL,TED,SETTLED,2026-01-11T13:56:48Z,,
TX-001198,PLY-INCO-088,WITHDRAWAL,6024.92,BRL,PIX,SETTLED,2026-01-11T14:04:03Z,,
TX-001516,PLY-STRU-094,DEPOSIT,980.31,BRL,PIX,SETTLED,2026-01-11T16:16:48Z,,
TX-000499,PLY-NORM-044,DEPOSIT,1151.62,BRL,PIX,SETTLED,2026-01-11T16:59:24Z,,
TX-000897,PLY-NORM-075,DEPOSIT,1174.07,BRL,PIX,SETTLED,2026-01-11T18:36:08Z,,
TX-000600,PLY-NORM-051,DEPOSIT,626.04,BRL,PIX,SETTLED,2026-01-11T18:40:25Z,,
TX-000307,PLY-NORM-028,DEPOSIT,1794.27,BRL,PIX,SETTLED,2026-01-11T19:43:20Z,,
TX-001519,PLY-STRU-094,DEPOSIT,678.75,BRL,TED,SETTLED,2026-01-11T20:45:48Z,,
TX-000573,PLY-NORM-049,DEPOSIT,776.07,BRL,PIX,SETTLED,2026-01-11T20:56:15Z,,
TX-001925,PLY-NETW-103,WITHDRAWAL,3363.16,BRL,PIX,SETTLED,2026-01-12T03:15:58Z,,PIX:shared.beta@fictibet.test
TX-000667,PLY-NORM-057,DEPOSIT,556.31,BRL,PIX,SETTLED,2026-01-12T05:29:30Z,,
TX-001993,PLY-NETW-110,WITHDRAWAL,6749.56,BRL,PIX,SETTLED,2026-01-12T05:58:47Z,,PIX:shared.gamma@fictibet.test
TX-000746,PLY-NORM-063,DEPOSIT,625.29,BRL,PIX,SETTLED,2026-01-12T06:49:21Z,,
TX-000412,PLY-NORM-036,DEPOSIT,232.43,BRL,PIX,SETTLED,2026-01-12T08:59:24Z,,
TX-000618,PLY-NORM-053,DEPOSIT,1317.47,BRL,PIX,SETTLED,2026-01-12T12:17:24Z,,
TX-000513,PLY-NORM-045,DEPOSIT,234.37,BRL,PIX,SETTLED,2026-01-12T13:00:16Z,,
TX-002203,PLY-BONU-114,BONUS,322.59,BRL,WALLET,SETTLED,2026-01-12T13:57:07Z,Bonus deposito,
TX-000660,PLY-NORM-057,DEPOSIT,249.25,BRL,PIX,SETTLED,2026-01-12T14:43:00Z,,
TX-002110,PLY-BONU-112,CASHOUT,580.46,BRL,PIX,SETTLED,2026-01-12T15:18:42Z,,
TX-000505,PLY-NORM-044,DEPOSIT,1890.37,BRL,PIX,SETTLED,2026-01-12T17:14:33Z,,
TX-000015,PLY-NORM-002,DEPOSIT,383.86,BRL,TED,SETTLED,2026-01-13T00:39:51Z,,
TX-001192,PLY-INCO-088,WITHDRAWAL,2250.47,BRL,PIX,SETTLED,2026-01-13T02:17:50Z,,
TX-001066,PLY-INCO-084,DEPOSIT,811.81,BRL,PIX,SETTLED,2026-01-13T02:26:55Z,,
TX-000845,PLY-NORM-071,DEPOSIT,2178.68,BRL,TED,SETTLED,2026-01-13T04:46:26Z,,
TX-001074,PLY-INCO-084,WITHDRAWAL,7577.58,BRL,PIX,SETTLED,2026-01-13T04:51:53Z,,
TX-000648,PLY-NORM-056,DEPOSIT,420.82,BRL,PIX,SETTLED,2026-01-13T05:21:17Z,,
TX-001888,PLY-NETW-101,DEPOSIT,3956.00,BRL,PIX,SETTLED,2026-01-13T05:21:33Z,,PIX:shared.alpha@fictibet.test
TX-000733,PLY-NORM-062,DEPOSIT,562.64,BRL,PIX,SETTLED,2026-01-13T05:30:20Z,,
TX-000996,PLY-INCO-082,DEPOSIT,1225.07,BRL,TED,SETTLED,2026-01-13T06:30:41Z,,
TX-000084,PLY-NORM-008,DEPOSIT,918.05,BRL,PIX,SETTLED,2026-01-13T12:09:49Z,,
TX-001968,PLY-NETW-107,WITHDRAWAL,5528.45,BRL,PIX,SETTLED,2026-01-13T13:42:41Z,,PIX:shared.gamma@fictibet.test
TX-000130,PLY-NORM-013,DEPOSIT,599.22,BRL,PIX,SETTLED,2026-01-13T17:02:56Z,,
TX-000838,PLY-NORM-070,DEPOSIT,1531.83,BRL,PIX,SETTLED,2026-01-13T18:17:25Z,,
TX-001275,PLY-INCO-090,WITHDRAWAL,5987.28,BRL,PIX,SETTLED,2026-01-13T19:11:12Z,,
TX-000669,PLY-NORM-057,DEPOSIT,549.89,BRL,TED,SETTLED,2026-01-13T21:29:57Z,,
TX-000782,PLY-NORM-065,DEPOSIT,196.47,BRL,TED,SETTLED,2026-01-13T22:06:21Z,,
TX-000801,PLY-NORM-067,DEPOSIT,1143.69,BRL,PIX,SETTLED,2026-01-13T22:20:46Z,,
TX-000538,PLY-NORM-047,DEPOSIT,2365.34,BRL,WALLET,SETTLED,2026-01-13T22:31:51Z,,
TX-001639,PLY-STRU-095,WITHDRAWAL,9869.67,BRL,PIX,SETTLED,2026-01-14T00:11:28Z,,
TX-001357,PLY-STRU-091,WITHDRAWAL,11012.17,BRL,PIX,SETTLED,2026-01-14T00:37:12Z,,
TX-000788,PLY-NORM-066,DEPOSIT,1214.09,BRL,PIX,SETTLED,2026-01-14T02:18:24Z,,
TX-000544,PLY-NORM-047,DEPOSIT,1895.69,BRL,PIX,SETTLED,2026-01-14T03:00:09Z,,
TX-000254,PLY-NORM-024,DEPOSIT,280.16,BRL,PIX,SETTLED,2026-01-14T03:21:56Z,,
TX-002427,PLY-PEP_-120,WITHDRAWAL,14220.75,BRL,TED,SETTLED,2026-01-14T03:31:01Z,,
TX-000187,PLY-NORM-018,DEPOSIT,542.26,BRL,PIX,SETTLED,2026-01-14T04:37:54Z,,
TX-002211,PLY-BONU-114,BONUS,327.90,BRL,WALLET,SETTLED,2026-01-14T08:41:10Z,Bonus deposito,
TX-000584,PLY-NORM-050,DEPOSIT,1010.70,BRL,PIX,SETTLED,2026-01-14T08:47:28Z,,
TX-001500,PLY-STRU-093,WITHDRAWAL,6255.49,BRL,PIX,SETTLED,2026-01-14T10:16:38Z,,
TX-001938,PLY-NETW-104,WITHDRAWAL,3011.49,BRL,PIX,SETTLED,2026-01-14T10:40:56Z,,PIX:shared.beta@fictibet.test
TX-000085,PLY-NORM-008,DEPOSIT,468.34,BRL,PIX,SETTLED,2026-01-14T11:11:32Z,,
TX-001982,PLY-NETW-109,DEPOSIT,1571.35,BRL,PIX,SETTLED,2026-01-14T12:07:04Z,,PIX:shared.gamma@fictibet.test
TX-002112,PLY-BONU-112,CASHOUT,299.96,BRL,PIX,SETTLED,2026-01-14T12:16:37Z,,
TX-001840,PLY-STRU-098,DEPOSIT,846.83,BRL,PIX,SETTLED,2026-01-14T14:08:42Z,,
TX-001842,PLY-STRU-098,DEPOSIT,702.95,BRL,PIX,SETTLED,2026-01-14T14:38:42Z,,
TX-002090,PLY-BONU-112,BONUS,440.10,BRL,WALLET,SETTLED,2026-01-14T15:05:35Z,Bonus deposito,
TX-001838,PLY-STRU-098,DEPOSIT,650.63,BRL,PIX,SETTLED,2026-01-14T15:20:42Z,,
TX-002322,PLY-PEP_-116,DEPOSIT,12098.80,BRL,PIX,SETTLED,2026-01-14T15:22:05Z,,
TX-001839,PLY-STRU-098,DEPOSIT,445.86,BRL,PIX,SETTLED,2026-01-14T17:06:42Z,,
TX-001843,PLY-STRU-098,DEPOSIT,470.16,BRL,PIX,SETTLED,2026-01-14T17:20:42Z,,
TX-002274,PLY-BONU-115,BONUS,342.93,BRL,WALLET,SETTLED,2026-01-14T17:27:34Z,Bonus deposito,
TX-001638,PLY-STRU-095,WITHDRAWAL,12776.62,BRL,PIX,SETTLED,2026-01-14T18:00:36Z,,
TX-001846,PLY-STRU-098,DEPOSIT,942.86,BRL,TED,SETTLED,2026-01-14T18:17:42Z,,
TX-002263,PLY-BONU-115,BONUS,383.02,BRL,WALLET,SETTLED,2026-01-14T20:10:19Z,Bonus deposito,
TX-001841,PLY-STRU-098,DEPOSIT,463.61,BRL,TED,SETTLED,2026-01-14T20:42:42Z,,
TX-000543,PLY-NORM-047,DEPOSIT,509.06,BRL,PIX,SETTLED,2026-01-14T22:10:12Z,,
TX-001403,PLY-STRU-092,WITHDRAWAL,10551.77,BRL,PIX,SETTLED,2026-01-14T23:56:21Z,,
TX-001844,PLY-STRU-098,DEPOSIT,439.09,BRL,PIX,SETTLED,2026-01-15T00:08:42Z,,
